rank,short_window,long_window,min_momentum,min_edge,btc_down_threshold,market_count,traded_market_count,trade_count,win_rate,realized_pnl,total_fees,total_slippage,max_drawdown,event_count,score
1,3,12,0.0025,0.0015,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
2,3,12,0.005,0.003,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
3,3,12,0.0075,0.005,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
4,3,12,0.01,0.0075,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
5,6,24,0.0025,0.0015,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
6,6,24,0.005,0.003,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
7,6,24,0.0075,0.005,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
8,6,24,0.01,0.0075,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
9,12,48,0.0025,0.0015,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
10,12,48,0.005,0.003,-0.0025,216,24,110,0.6545454545454545,66.63217754432843,47.7963258549459,3.4375,0.06271618203430789,29551,50.95313203575146
